food_type,portion_size,carbohydrates,protein,fat,calories
Ayam Goreng - Sayap,165,4.66,31.67,44.2,539
Ayam Goreng - Sayap,243,7.86,48.68,68.27,819
Ayam Goreng - Sayap,96,3.04,22.78,22.73,313
Ayam Goreng - Sayap,228,5.95,48.15,54.64,716
Ayam Goreng - Sayap,204,6.61,41.04,56.48,701
Ayam Goreng - Sayap,250,7.65,62.95,66.1,872
Ayam Goreng - Sayap,115,3.69,25.71,27.04,365
Ayam Goreng - Sayap,243,6.45,50.85,51.77,703
Ayam Goreng - Sayap,75,2.5,14.47,19.4,242
Ayam Goreng - Sayap,74,1.96,14.64,17.39,233
Ayam Goreng - Sayap,238,7.25,52.79,55.67,751
Ayam Goreng - Sayap,230,7.2,43.9,49.41,673
Ayam Goreng - Sayap,126,3.4,31.65,28.86,388
Ayam Goreng - Sayap,121,3.34,25.42,32.24,401
Ayam Goreng - Sayap,103,2.87,25.91,22.86,316
Ayam Goreng - Sayap,160,4.34,34.22,45.36,569
French Fries,247,90.99,8.64,42.78,819
French Fries,109,44.82,3.61,19.85,385
French Fries,79,36.08,3.18,12.93,266
French Fries,154,58.34,5.85,27.88,484
French Fries,75,32.93,2.88,13.09,271
French Fries,58,24.4,1.85,9.31,192
French Fries,97,33.53,3.23,16.19,281
French Fries,79,31.7,2.69,15.33,282
French Fries,236,87.28,9.47,41.16,793
French Fries,173,59.23,6.91,33.69,592
French Fries,247,112.65,8.11,39.71,860
French Fries,64,22.41,2.04,12.6,218
French Fries,74,26.0,2.46,12.98,239
French Fries,205,85.91,6.15,38.55,705
French Fries,51,20.42,1.68,9.48,166
French Fries,233,102.52,7.43,39.59,801
French Fries,168,58.73,6.02,27.17,509
French Fries,223,98.95,8.46,41.21,789
French Fries,174,66.94,6.45,30.84,592
French Fries,206,79.38,7.07,42.04,713
French Fries,179,67.26,7.13,36.64,598
French Fries,197,69.78,7.45,39.69,683
French Fries,147,50.05,4.47,27.93,480
French Fries,81,34.53,2.79,13.32,271
French Fries,185,71.64,5.5,29.44,570
French Fries,143,61.69,4.42,24.59,466
French Fries,199,86.97,7.89,36.9,695
French Fries,155,64.59,5.12,25.6,499
French Fries,113,48.67,4.0,22.94,411
French Fries,198,83.12,6.47,40.48,753
Jagung,90,18.06,2.94,1.48,98
Jagung,139,25.33,5.39,2.34,146
Jagung,50,9.0,1.55,0.85,49
Jagung,33,6.48,1.3,0.55,36
Jagung,38,8.59,1.47,0.6,48
Jagung,56,12.37,1.77,0.76,61
Jagung,66,13.51,2.06,1.04,73
Jagung,58,11.69,2.31,0.98,64
Jagung,94,18.74,2.92,1.23,100
Jagung,27,5.4,0.98,0.44,30
Jagung,36,7.48,1.33,0.57,39
Jagung,129,23.43,5.12,1.69,124
Jagung,133,26.78,4.81,2.2,152
Jagung,74,14.88,2.53,1.07,79
Jagung,58,11.71,2.18,0.93,64
Jagung,116,24.48,4.21,1.74,126
Jagung,21,4.37,0.8,0.3,23
Jagung,143,32.5,4.48,2.04,164
Jagung,74,13.11,2.32,1.08,72
Jagung,122,26.61,3.76,1.85,136
Jagung,87,17.42,2.73,1.34,92
Jagung,150,32.38,4.88,1.95,161
Jagung,60,13.09,1.85,0.96,66
Jagung,128,24.51,4.49,2.09,141
Jagung,28,5.84,0.98,0.45,30
Jagung,84,14.41,2.61,1.17,79
Jagung,85,18.88,3.09,1.25,98
Jagung,123,26.89,4.9,2.07,149
Jagung,145,31.58,4.72,2.13,164
Jagung,117,22.25,4.59,1.63,121
Lele Goreng,96,4.26,16.9,13.01,207
Lele Goreng,129,5.82,22.72,19.75,278
Lele Goreng,147,7.67,30.02,20.49,333
Lele Goreng,176,9.22,31.09,26.7,398
Lele Goreng,194,8.81,37.99,26.93,433
Lele Goreng,156,6.74,24.11,25.81,339
Lele Goreng,75,4.27,15.29,11.57,182
Lele Goreng,67,3.46,13.15,11.11,169
Lele Goreng,106,5.14,19.54,14.18,221
Lele Goreng,184,9.49,29.44,31.52,423
Lele Goreng,99,4.68,17.59,15.58,236
Lele Goreng,215,10.71,35.67,27.6,419
Lele Goreng,95,5.34,19.46,12.69,208
Lele Goreng,56,3.05,9.83,8.96,131
Lele Goreng,80,3.62,14.09,12.13,188
Lele Goreng,218,10.19,35.66,31.74,484
Lele Goreng,205,10.72,32.94,29.05,416
Lele Goreng,79,4.37,14.26,12.8,192
Lele Goreng,195,9.74,34.41,30.85,440
Lele Goreng,120,5.78,24.16,20.43,304
Lele Goreng,73,3.89,12.79,9.63,146
Lele Goreng,188,8.31,29.0,29.19,415
Lele Goreng,191,10.61,35.17,32.41,460
Lele Goreng,170,7.35,28.06,27.16,375
Lele Goreng,52,2.69,10.19,6.74,116
Lele Goreng,164,9.39,32.37,28.2,426
Lele Goreng,211,10.64,33.66,31.52,480
Lele Goreng,216,11.09,36.08,29.63,474
Lele Goreng,184,10.09,34.82,23.48,388
Lele Goreng,57,3.12,11.13,7.61,124
Mashed Potato,105,17.86,2.1,5.05,123
Mashed Potato,102,17.03,2.07,4.36,115
Mashed Potato,89,16.62,1.94,4.47,113
Mashed Potato,68,13.0,1.36,3.71,87
Mashed Potato,191,32.73,3.35,9.91,231
Mashed Potato,222,41.5,4.27,11.74,277
Mashed Potato,101,19.48,2.3,4.61,124
Mashed Potato,60,10.82,1.14,3.34,77
Mashed Potato,210,33.87,4.05,9.86,233
Mashed Potato,136,22.95,2.75,7.33,177
Mashed Potato,99,16.46,1.84,4.21,111
Mashed Potato,156,28.06,3.41,7.02,185
Mashed Potato,69,13.72,1.57,3.78,100
Mashed Potato,133,24.26,2.54,6.33,157
Mashed Potato,62,11.1,1.12,2.73,72
Mashed Potato,155,28.56,2.99,7.67,186
Mashed Potato,221,41.27,4.6,11.14,295
Mashed Potato,136,25.67,2.7,6.94,183
Mashed Potato,137,23.31,2.41,6.66,170
Mashed Potato,66,10.88,1.51,3.21,77
Mashed Potato,222,35.42,4.35,10.26,262
Mashed Potato,213,40.06,4.71,9.53,264
Mashed Potato,73,14.25,1.51,3.69,94
Mashed Potato,150,30.49,3.25,6.6,202
Mashed Potato,165,29.86,3.54,8.76,223
Mashed Potato,98,19.01,1.72,4.23,118
Mashed Potato,157,31.11,3.38,8.1,220
Mashed Potato,152,23.48,3.34,8.23,172
Mashed Potato,213,39.92,4.11,9.99,268
Mashed Potato,197,35.95,4.28,8.44,248
Nasi Putih,202,57.58,5.09,0.55,247
Nasi Putih,64,15.54,1.82,0.21,73
Nasi Putih,171,49.95,4.89,0.58,219
Nasi Putih,213,60.96,6.42,0.64,266
Nasi Putih,226,68.65,6.63,0.61,302
Nasi Putih,127,31.64,3.18,0.34,138
Nasi Putih,58,13.8,1.38,0.18,64
Nasi Putih,194,54.79,5.24,0.55,237
Nasi Putih,173,49.41,4.03,0.48,212
Nasi Putih,118,32.25,2.78,0.41,150
Nasi Putih,111,28.67,2.75,0.31,130
Nasi Putih,246,76.42,7.58,0.79,340
Nasi Putih,83,22.89,2.26,0.23,104
Nasi Putih,142,38.86,4.24,0.4,179
Nasi Putih,205,51.85,5.91,0.53,247
Nasi Putih,107,30.01,3.26,0.34,137
Nasi Putih,91,27.92,2.81,0.3,123
Nasi Putih,186,48.77,5.49,0.52,226
Nasi Putih,151,40.85,4.55,0.45,190
Nasi Putih,62,14.91,1.57,0.2,66
Nasi Putih,224,54.44,6.83,0.57,238
Nasi Putih,147,35.22,3.77,0.38,167
Nasi Putih,132,41.14,3.65,0.42,178
Nasi Putih,162,39.25,4.33,0.45,170
Nasi Putih,146,46.38,4.15,0.47,205
Nasi Putih,68,20.84,1.9,0.2,91
Nasi Putih,167,42.82,4.54,0.51,199
Nasi Putih,217,69.05,5.14,0.63,296
Nasi Putih,248,75.76,6.43,0.65,348
Nasi Putih,118,28.84,2.76,0.4,131
Pisang,36,7.52,0.43,0.1,31
Pisang,83,19.64,0.97,0.22,87
Pisang,113,28.81,1.11,0.35,118
Pisang,97,25.1,1.13,0.25,106
Pisang,139,28.69,1.74,0.42,121
Pisang,84,19.31,1.01,0.25,86
Pisang,118,25.73,1.25,0.31,116
Pisang,103,25.35,0.99,0.32,105
Pisang,42,10.83,0.44,0.13,44
Pisang,23,4.73,0.27,0.07,20
Pisang,149,35.48,1.73,0.51,154
Pisang,37,9.27,0.39,0.1,39
Pisang,88,22.24,1.03,0.24,97
Pisang,129,29.15,1.44,0.37,125
Pisang,72,17.83,0.74,0.25,76
Pisang,51,10.72,0.49,0.16,47
Pisang,121,26.01,1.37,0.35,114
Pisang,109,25.33,1.33,0.32,111
Pisang,27,5.58,0.28,0.08,24
Pisang,48,12.03,0.59,0.17,54
Pisang,98,19.27,0.93,0.25,83
Pisang,91,21.3,1.12,0.25,94
Pisang,80,19.86,0.9,0.21,87
Pisang,116,28.33,1.09,0.39,123
Pisang,67,15.29,0.64,0.22,68
Pisang,149,38.5,1.7,0.45,157
Pisang,136,27.56,1.63,0.46,117
Pisang,102,23.66,1.17,0.3,106
Pisang,145,34.58,1.73,0.46,146
Pisang,141,29.11,1.41,0.4,121
Pizza,248,69.38,25.38,31.38,678
Pizza,74,21.02,10.2,7.83,202
Pizza,182,61.5,18.83,21.75,537
Pizza,175,47.19,21.07,21.95,473
Pizza,158,51.73,21.07,17.73,439
Pizza,169,43.71,20.53,18.84,440
Pizza,59,15.18,6.16,7.41,151
Pizza,234,75.05,26.67,29.16,672
Pizza,100,28.97,10.62,12.61,276
Pizza,88,29.84,11.83,11.08,265
Pizza,149,39.87,18.46,17.35,396
Pizza,248,72.31,25.45,33.35,662
Pizza,118,39.81,16.26,13.27,350
Pizza,201,68.79,21.49,26.57,626
Pizza,129,38.7,13.67,15.24,337
Pizza,104,32.04,12.24,11.63,295
Pizza,191,51.35,21.9,20.81,484
Pizza,118,34.21,15.14,14.94,342
Pizza,156,41.69,18.06,16.87,375
Pizza,213,64.64,26.82,28.55,626
Pizza,152,42.83,19.61,20.05,424
Pizza,218,58.35,26.6,28.86,601
Pizza,134,38.43,15.23,17.1,372
Pizza,118,31.13,15.6,12.72,294
Pizza,150,45.95,18.3,15.87,385
Pizza,131,44.92,15.79,16.21,383
Pizza,229,66.37,25.8,25.02,576
Pizza,60,20.42,6.46,6.22,163
Pizza,106,33.18,14.41,13.25,301
Pizza,114,31.66,14.36,15.06,322
Roti Putih,96,42.4,7.36,3.02,216
Roti Putih,133,67.05,11.86,4.02,336
Roti Putih,59,28.47,5.91,1.78,151
Roti Putih,22,12.23,1.72,0.83,60
Roti Putih,95,47.4,7.78,3.35,239
Roti Putih,62,33.1,6.15,2.11,167
Roti Putih,110,49.01,9.18,4.14,261
Roti Putih,42,18.75,3.62,1.45,99
Roti Putih,68,34.99,6.42,2.36,185
Roti Putih,110,61.08,8.74,4.15,312
Roti Putih,60,30.03,5.75,2.08,168
Roti Putih,39,18.72,3.63,1.25,99
Roti Putih,73,31.22,7.06,2.28,166
Roti Putih,104,45.75,8.03,3.54,241
Roti Putih,124,63.28,10.67,4.04,347
Roti Putih,114,60.69,9.13,3.7,308
Roti Putih,93,43.6,9.29,3.51,246
Roti Putih,71,39.45,6.87,2.18,199
Roti Putih,135,64.52,12.84,4.48,352
Roti Putih,21,11.38,1.72,0.61,61
Roti Putih,142,59.51,11.75,4.99,316
Roti Putih,46,21.87,3.84,1.64,115
Roti Putih,21,9.83,1.65,0.67,54
Roti Putih,73,37.46,6.01,2.68,192
Roti Putih,60,29.19,4.77,1.74,158
Roti Putih,126,68.22,10.46,4.67,370
Roti Putih,51,23.65,4.6,1.85,131
Roti Putih,26,14.37,2.55,0.91,78
Roti Putih,103,47.44,9.37,3.09,254
Roti Putih,80,44.77,6.57,2.41,218
Sambal,104,10.93,0.97,1.01,56
Sambal,36,3.42,0.31,0.36,18
Sambal,65,6.76,0.62,0.63,34
Sambal,72,7.44,0.78,0.65,40
Sambal,31,3.51,0.28,0.35,18
Sambal,130,14.82,1.46,1.31,79
Sambal,21,1.97,0.23,0.19,10
Sambal,128,14.71,1.3,1.24,76
Sambal,76,7.69,0.76,0.8,41
Sambal,61,5.96,0.61,0.54,31
Sambal,81,7.18,0.69,0.77,39
Sambal,30,2.8,0.31,0.27,15
Sambal,133,13.8,1.16,1.28,70
Sambal,90,10.05,0.81,0.99,52
Sambal,44,4.4,0.38,0.43,22
Sambal,66,6.71,0.57,0.65,34
Sambal,101,11.49,1.0,0.86,60
Sambal,70,7.37,0.63,0.65,36
Sambal,42,4.09,0.36,0.42,22
Sambal,116,10.82,1.1,1.08,55
Sambal,38,4.27,0.34,0.33,22
Sambal,74,6.49,0.83,0.71,35
Sambal,45,3.97,0.52,0.5,22
Sambal,32,2.88,0.32,0.35,16
Sambal,88,10.05,0.84,0.75,52
Sambal,48,5.32,0.51,0.5,29
Sambal,135,14.33,1.26,1.47,78
Sambal,87,8.33,0.76,0.85,43
Sambal,46,5.04,0.5,0.51,27
Sambal,123,10.92,1.06,1.12,56
Saus Tomat,134,29.41,1.48,0.26,127
Saus Tomat,97,24.71,1.04,0.19,108
Saus Tomat,69,15.42,0.59,0.15,66
Saus Tomat,58,16.06,0.5,0.12,69
Saus Tomat,150,40.66,1.52,0.29,164
Saus Tomat,64,17.62,0.65,0.12,74
Saus Tomat,45,12.63,0.41,0.08,53
Saus Tomat,146,38.88,1.59,0.27,169
Saus Tomat,71,19.34,0.63,0.13,83
Saus Tomat,112,30.59,1.27,0.24,132
Saus Tomat,137,38.84,1.23,0.28,171
Saus Tomat,113,24.87,0.96,0.19,105
Saus Tomat,30,7.75,0.26,0.05,34
Saus Tomat,36,9.46,0.36,0.07,40
Saus Tomat,136,29.26,1.38,0.25,122
Saus Tomat,127,33.79,1.38,0.26,147
Saus Tomat,86,21.17,0.92,0.16,86
Saus Tomat,59,13.19,0.54,0.1,58
Saus Tomat,66,16.12,0.58,0.14,66
Saus Tomat,91,20.03,0.92,0.18,86
Saus Tomat,117,27.61,1.1,0.27,114
Saus Tomat,78,19.46,0.78,0.15,85
Saus Tomat,75,19.1,0.8,0.13,80
Saus Tomat,104,25.07,0.98,0.21,102
Saus Tomat,20,5.74,0.19,0.04,25
Saus Tomat,126,33.58,1.32,0.24,145
Saus Tomat,81,22.18,0.79,0.18,91
Saus Tomat,60,12.88,0.66,0.13,56
Saus Tomat,52,13.23,0.48,0.09,58
Saus Tomat,127,29.83,1.25,0.22,125
Steak Sapi,103,0.0,30.19,16.24,261
Steak Sapi,144,0.0,36.9,28.0,390
Steak Sapi,210,0.0,49.67,42.09,560
Steak Sapi,108,0.0,29.01,20.64,307
Steak Sapi,124,0.0,36.37,22.29,342
Steak Sapi,243,0.0,59.21,45.01,638
Steak Sapi,179,0.0,41.06,35.18,497
Steak Sapi,203,0.0,55.79,41.21,613
Steak Sapi,208,0.0,55.47,39.8,595
Steak Sapi,229,0.0,53.91,39.52,578
Steak Sapi,192,0.0,43.81,37.4,497
Steak Sapi,237,0.0,59.93,41.45,640
Steak Sapi,227,0.0,59.18,38.8,595
Steak Sapi,114,0.0,25.66,18.46,271
Steak Sapi,109,0.0,29.33,17.42,277
Steak Sapi,51,0.0,12.25,9.48,135
Steak Sapi,190,0.0,50.93,33.36,485
Steak Sapi,76,0.0,21.71,13.12,203
Steak Sapi,178,0.0,48.74,35.47,518
Steak Sapi,180,0.0,43.11,36.41,503
Steak Sapi,128,0.0,31.69,19.88,295
Steak Sapi,190,0.0,42.92,37.3,490
Steak Sapi,169,0.0,39.37,26.23,386
Steak Sapi,128,0.0,36.67,25.35,385
Steak Sapi,196,0.0,49.31,36.47,507
Steak Sapi,170,0.0,50.19,26.91,462
Steak Sapi,106,0.0,30.63,20.51,320
Steak Sapi,141,0.0,41.55,22.5,378
Steak Sapi,169,0.0,45.4,30.28,442
Steak Sapi,203,0.0,52.54,35.9,518
Tahu Goreng,145,6.44,15.64,15.81,232
Tahu Goreng,30,1.29,3.14,4.07,52
Tahu Goreng,62,3.44,5.3,7.64,100
Tahu Goreng,85,4.0,7.73,9.04,126
Tahu Goreng,129,6.63,11.93,15.92,219
Tahu Goreng,102,4.53,10.1,11.35,154
Tahu Goreng,47,2.28,4.0,5.76,78
Tahu Goreng,103,5.74,11.24,10.56,163
Tahu Goreng,26,1.15,2.33,3.24,41
Tahu Goreng,34,1.78,2.99,4.19,55
Tahu Goreng,112,6.31,9.65,12.38,178
Tahu Goreng,104,5.25,10.32,11.61,167
Tahu Goreng,26,1.17,2.79,3.11,43
Tahu Goreng,28,1.19,2.91,3.03,42
Tahu Goreng,53,2.25,5.54,7.09,97
Tahu Goreng,89,4.81,8.44,11.31,147
Tahu Goreng,142,6.98,15.28,17.86,237
Tahu Goreng,45,2.39,4.07,4.92,71
Tahu Goreng,49,2.39,5.54,6.12,83
Tahu Goreng,144,6.33,14.96,15.31,229
Tahu Goreng,39,1.75,3.97,4.16,58
Tahu Goreng,130,5.73,14.73,15.42,212
Tahu Goreng,103,5.14,11.82,12.62,185
Tahu Goreng,113,6.49,12.78,13.62,202
Tahu Goreng,37,2.04,3.53,3.98,59
Tahu Goreng,150,6.8,14.49,19.35,263
Tahu Goreng,34,1.73,3.09,4.1,56
Tahu Goreng,68,3.54,6.89,8.65,124
Tahu Goreng,73,3.8,8.11,8.57,128
Tahu Goreng,91,4.17,9.08,11.76,161
Telor Ceplok,113,0.93,14.77,12.08,164
Telor Ceplok,37,0.25,4.56,3.76,51
Telor Ceplok,104,0.9,13.03,11.09,156
Telor Ceplok,70,0.48,7.85,6.3,90
Telor Ceplok,25,0.19,3.31,2.62,36
Telor Ceplok,145,1.05,15.59,13.67,187
Telor Ceplok,56,0.49,6.73,5.79,79
Telor Ceplok,38,0.3,4.05,3.5,48
Telor Ceplok,81,0.71,10.01,9.02,121
Telor Ceplok,29,0.2,3.84,2.95,45
Telor Ceplok,123,0.89,15.86,13.86,192
Telor Ceplok,51,0.39,6.97,4.89,70
Telor Ceplok,96,0.88,10.83,8.24,117
Telor Ceplok,126,0.96,15.7,12.23,176
Telor Ceplok,98,0.84,11.13,8.47,123
Telor Ceplok,147,1.29,18.81,12.53,194
Telor Ceplok,144,1.03,19.64,14.9,227
Telor Ceplok,78,0.58,10.07,7.21,106
Telor Ceplok,87,0.8,12.04,9.92,147
Telor Ceplok,53,0.46,5.98,5.3,71
Telor Ceplok,42,0.36,5.95,3.67,55
Telor Ceplok,42,0.34,5.83,4.54,66
Telor Ceplok,146,1.19,15.61,12.69,186
Telor Ceplok,79,0.7,10.11,7.37,104
Telor Ceplok,142,1.02,18.46,13.45,197
Telor Ceplok,92,0.8,9.86,8.03,113
Telor Ceplok,88,0.65,9.59,7.77,116
Telor Ceplok,144,1.28,20.11,12.42,202
Telor Ceplok,148,1.26,20.29,14.94,224
Telor Ceplok,90,0.7,10.39,9.48,126
Tempe Goreng,24,3.28,4.61,3.16,62
Tempe Goreng,35,3.64,7.38,4.85,91
Tempe Goreng,62,6.57,13.19,8.96,164
Tempe Goreng,101,12.91,21.96,16.46,274
Tempe Goreng,127,17.27,22.4,17.45,324
Tempe Goreng,58,7.62,9.43,8.98,154
Tempe Goreng,23,2.89,4.6,3.95,62
Tempe Goreng,66,8.19,13.95,10.03,182
Tempe Goreng,123,14.65,25.9,15.89,308
Tempe Goreng,134,15.13,25.52,18.36,343
Tempe Goreng,30,3.24,6.08,4.12,71
Tempe Goreng,62,6.46,11.64,9.04,156
Tempe Goreng,45,5.08,7.69,6.43,112
Tempe Goreng,130,17.52,26.43,17.74,337
Tempe Goreng,78,8.58,13.86,13.08,209
Tempe Goreng,115,15.11,21.26,16.99,303
Tempe Goreng,103,12.94,18.19,15.6,252
Tempe Goreng,133,18.01,25.86,18.99,355
Tempe Goreng,95,10.83,16.13,15.91,247
Tempe Goreng,139,15.69,26.85,18.78,340
Tempe Goreng,47,6.12,9.32,7.65,126
Tempe Goreng,121,12.76,22.37,18.99,310
Tempe Goreng,129,16.39,25.22,16.65,302
Tempe Goreng,113,13.46,19.39,14.92,279
Tempe Goreng,63,7.37,11.38,9.54,164
Tempe Goreng,48,4.99,8.33,6.28,106
Tempe Goreng,97,10.96,16.99,16.67,263
Tempe Goreng,107,12.98,19.69,16.17,284
Tempe Goreng,84,9.25,17.5,10.92,209
Tempe Goreng,105,12.43,22.6,16.0,296
